-25048,-95885,-2.14E+05,-3.80E+05,-5.93E+05,-8.54E+05,-1.16E+06,-1.49E+06,-1.86E+06,-2.25E+06,-2.66E+06,-3.10E+06,-1.34E+05
-28354,-1.09E+05,-2.42E+05,-4.28E+05,-6.63E+05,-9.38E+05,-1.25E+06,-1.59E+06,-1.93E+06,-2.28E+06,1.79E+05,-1.56E+06,-8.40E+05
-29535,-1.13E+05,-2.52E+05,-4.41E+05,-6.61E+05,-9.05E+05,-1.18E+06,-1.51E+06,-4.56E+05,51043,-32896,7.80E+05,-1.33E+06
-29633,-1.14E+05,-2.52E+05,-4.34E+05,-6.41E+05,-8.68E+05,-1.14E+06,-1.46E+06,2341.7,-2.51E+05,-2.31E+05,-6.95E+05,-7.97E+05
-28860,-1.11E+05,-2.44E+05,-4.13E+05,-6.07E+05,-8.19E+05,-1.05E+06,-8.95E+05,-5.94E+05,-1.45E+05,-5.23E+05,-6.08E+05,-2.94E+05
-27377,-1.05E+05,-2.30E+05,-3.85E+05,-5.59E+05,-7.46E+05,-9.48E+05,-4.24E+05,-5.07E+05,-5.98E+05,-4.52E+05,-5.31E+05,-2.59E+05
-25269,-97466,-2.11E+05,-3.52E+05,-5.11E+05,-6.82E+05,-8.63E+05,-3.67E+05,-4.36E+05,-5.16E+05,-6.03E+05,-4.41E+05,-5.27E+05
-22834,-88562,-1.90E+05,-3.16E+05,-4.59E+05,-6.15E+05,-7.81E+05,-3.36E+05,-3.95E+05,-4.59E+05,-5.33E+05,-6.08E+05,-5.70E+05
-20293,-79534,-1.67E+05,-2.76E+05,-4.06E+05,-5.49E+05,-6.98E+05,-3.79E+05,-3.61E+05,-4.17E+05,-4.79E+05,-5.44E+05,-5.08E+05
-18204,-71046,-1.47E+05,-2.44E+05,-3.59E+05,-4.85E+05,-6.07E+05,-5.80E+05,-5.05E+05,-3.71E+05,-4.23E+05,-4.77E+05,-4.43E+05
-16460,-63171,-1.30E+05,-2.16E+05,-3.19E+05,-4.29E+05,-5.37E+05,-5.16E+05,-6.46E+05,-5.13E+05,-3.72E+05,-4.20E+05,-3.88E+05
